Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	369.31647	54.54107	467.1672	283.00818	500.0	0.018745609	0.00097460236	0.021972444	0.015136217	4000	-0.009226581	3431.0452	-0.0013480373	-2751.435	0.9189386	0.005373501	0.02175	79.0	153.30180191993713
1	355.19348	54.88464	490.31906	311.8504	500.0	62.788242	11.751987	86.56933	48.592575	8000	-0.008744103	590.59717	-0.0049681542	-136.32678	0.9169473	0.0054389173	0.0635	79.0	355.0531451702118
2	326.91644	52.232265	409.35318	253.86041	500.0	46.414173	9.783936	64.067154	30.80513	12000	-0.006869917	411.84952	-0.0033950536	-139.78516	0.90693647	0.005637038	0.06675	79.0	569.594553232193
3	335.9168	69.55491	411.97336	186.83179	500.0	44.705406	14.666642	80.92005	20.831654	16000	-0.0072547602	452.6907	-0.0029544183	-81.33481	0.90895563	0.0045633335	0.05825	79.0	782.9194660186768
4	330.4033	62.57826	425.15485	270.5416	500.0	53.457756	16.78564	100.66852	25.269468	20000	-0.005895291	464.66653	-0.005765188	-80.19498	0.90452385	0.0050861896	0.075	79.0	1026.3700470924377
5	315.4947	60.51236	391.0929	180.80078	500.0	41.991108	12.470261	80.926674	21.04371	24000	-0.006371349	342.64365	-0.0049431175	4.57016	0.90243363	0.0064793387	0.07975	79.0	3094.402004957199
6	334.87653	73.05137	469.48407	234.76411	500.0	51.45125	15.720701	95.55147	23.971678	28000	-0.007852296	492.00345	-0.00772429	-94.963684	0.90116024	0.009732838	0.09075	79.0	6614.790353298187
7	371.11035	44.096558	421.18872	268.80856	500.0	46.233177	17.031754	99.29995	11.042928	32000	-0.0064361393	484.94833	-0.007106173	-82.37869	0.9048892	0.004916868	0.098	79.0	6734.593060255051
8	376.747	52.63639	482.13184	312.99194	500.0	51.84818	12.847977	97.75205	34.702354	36000	-0.005355984	470.87823	-0.006868464	-44.18756	0.90332425	0.010687065	0.1165	79.0	6854.515233039856
9	350.42798	72.53328	451.60953	190.95729	500.0	55.410797	12.402513	101.21213	35.46372	40000	-0.003815847	480.5866	-0.006114486	-70.579926	0.89934075	0.0064814407	0.115	79.0	6984.329614162445
